year,mass,mission,organisation,description_verbatim,failure_severity,never_heard_from,failure_inferred_only_from_absence_of_publications,source,source_type
2015,3 kg,OCSD-A (AeroCube 7),Unknown,"The Aerospace Corporation Attitude control failure. Software upload to the attitude control processor rendered inoperative, which also controlled the downlink processor. Could not recover.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2015,1 kg,PropCube 1 and 3 Naval Postgrad School,Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2015,4 kg,S-CUBE (S3),Unknown,"Presumed mission failure. Many papers written in years PERC/Chitech, Tohoku University, Japan preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2015,4 kg,SERPENS Brazilian University Consortium Probable mission failure,Unknown,"Satellite built and placed into orbit from ISS. Beacon received, but no technical papers describing data obtained can be found.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2015,2 kg,"SINOD-D 1,2,3 SRI International",Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2015,5 kg,SNaP 3 Alice unit US Army SMDC Alice cubesat failed to send,Unknown,SNaP 3 Alice unit US Army SMDC Alice cubesat failed to send telemetry data during the checkout period and could not be used. (Other two satellites successful and are listed in Appendix B.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2015,1 kg,STMSat 1 St Thomas More Cathedral School,Unknown,"Successfully deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2015,5 kg,USS Langley US Naval Academy,Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2016,4 kg,AISat 1N Algerian Space Agency and the UK Space Agency,Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2016,7 kg,3 CAT 2 Universidad Politecnica de Cataluna (UPC),Spain,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2016,4 kg,EGG University of Tokyo,Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2016,1U,E-ST@R 2 Politecnico di Torino,Italy,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2016,3U,HARP NASA/ESTO,Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2016,4kg,Lemur-2 13 SPIRE (USA),Unknown,Failed to deploy.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2016,0.75 kg,OSNSAT Interorbital Systems,California,"Successfully launched from the ISS, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2016,5 kg,PISat Indian Space Research Organization,Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2016,10 kg,Pratham Dept of Aerospace,IIT Bombay Ground station could n,"Pratham Dept of Aerospace, IIT Bombay Ground station could not receive satellite downlink, thereby preventing any measurement data from being acquired.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2016,1.5 kg,SathyabamaSat Sathyabama University,"Chennai, India","Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2016,1 kg,SWAYAM College of Engineering,Pune and Indian Space Research Organization (ISRO),"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2016,5 kg,Waseda-SAT3 Waseda University,Japan Waseda-SAT3 never trans,"Waseda-SAT3 Waseda University, Japan Waseda-SAT3 never transmitted any signals.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
